/Users/rohhithg/Desktop/meta_project/.venv/lib/python3.14/site-packages/torch/_subclasses/functional_tensor.py:307: UserWarning: Failed to initialize NumPy: No module named 'numpy' (Triggered internally at /Users/runner/work/pytorch/pytorch/pytorch/torch/csrc/utils/tensor_numpy.cpp:84.)
  cpu = _conversion_method_template(device=torch.device("cpu"))
Episode 273 | Reward: -104.076 | Steps:  1 | Success: False | Epsilon: 0.689
Episode 274 | Reward: -140.412 | Steps:  1 | Success: False | Epsilon: 0.688
Episode 275 | Reward: -110.468 | Steps:  1 | Success: False | Epsilon: 0.687
Validation | episode=275 success=30.00% recent_reward=-393.311
Episode 276 | Reward: -1077.981 | Steps: 15 | Success: False | Epsilon: 0.686
Episode 277 | Reward:  -40.385 | Steps:  4 | Success: True | Epsilon: 0.685
Episode 278 | Reward: -103.681 | Steps:  1 | Success: False | Epsilon: 0.685
Episode 279 | Reward: -104.301 | Steps:  1 | Success: False | Epsilon: 0.684
Episode 280 | Reward: -265.271 | Steps: 16 | Success: True | Epsilon: 0.683
Episode 281 | Reward:  -72.850 | Steps:  1 | Success: False | Epsilon: 0.682
Episode 282 | Reward: -607.796 | Steps:  9 | Success: False | Epsilon: 0.681
Episode 283 | Reward:  -42.043 | Steps:  4 | Success: True | Epsilon: 0.680
Episode 284 | Reward: -290.300 | Steps: 22 | Success: True | Epsilon: 0.679
Episode 285 | Reward:  -40.818 | Steps:  4 | Success: True | Epsilon: 0.678
Episode 286 | Reward:  -42.208 | Steps:  4 | Success: True | Epsilon: 0.677
Episode 287 | Reward: -326.802 | Steps: 21 | Success: True | Epsilon: 0.676
Episode 288 | Reward:  -78.935 | Steps:  7 | Success: True | Epsilon: 0.675
Episode 289 | Reward:  -41.944 | Steps:  4 | Success: True | Epsilon: 0.675
Episode 290 | Reward: -111.195 | Steps:  1 | Success: False | Epsilon: 0.674
Episode 291 | Reward: -431.229 | Steps:  6 | Success: False | Epsilon: 0.673
