/Users/rohhithg/Desktop/meta_project/.venv/lib/python3.14/site-packages/torch/_subclasses/functional_tensor.py:307: UserWarning: Failed to initialize NumPy: No module named 'numpy' (Triggered internally at /Users/runner/work/pytorch/pytorch/pytorch/torch/csrc/utils/tensor_numpy.cpp:84.)
  cpu = _conversion_method_template(device=torch.device("cpu"))
Episode 295 | Reward: -124.000 | Steps: 40 | Success: False | Epsilon: 0.639
Episode 296 | Reward:  -40.000 | Steps:  7 | Success: False | Epsilon: 0.638
Episode 297 | Reward:   -8.000 | Steps:  1 | Success: False | Epsilon: 0.637
Episode 298 | Reward:   24.000 | Steps: 24 | Success: True | Epsilon: 0.636
Episode 299 | Reward:    4.000 | Steps: 21 | Success: True | Epsilon: 0.634
Episode 300 | Reward:  -32.000 | Steps:  5 | Success: False | Epsilon: 0.633
Episode 301 | Reward:   10.000 | Steps:  3 | Success: True | Epsilon: 0.632
Episode 302 | Reward:   14.000 | Steps:  2 | Success: True | Epsilon: 0.631
Episode 303 | Reward:   22.000 | Steps:  9 | Success: True | Epsilon: 0.630
Episode 304 | Reward:  -51.000 | Steps: 40 | Success: False | Epsilon: 0.628
Episode 305 | Reward:   14.000 | Steps: 27 | Success: True | Epsilon: 0.627
Episode 306 | Reward:  -91.000 | Steps: 40 | Success: False | Epsilon: 0.626
Episode 307 | Reward:    8.000 | Steps:  2 | Success: True | Epsilon: 0.625
Episode 308 | Reward:   10.000 | Steps:  3 | Success: True | Epsilon: 0.623
Episode 309 | Reward:   27.000 | Steps: 36 | Success: True | Epsilon: 0.622
Episode 310 | Reward:  -69.000 | Steps: 32 | Success: True | Epsilon: 0.621
Episode 311 | Reward:  -24.000 | Steps: 21 | Success: True | Epsilon: 0.620
Episode 312 | Reward:  -31.000 | Steps: 26 | Success: True | Epsilon: 0.619
