Episode 305 | Reward: -122.524 | Steps: 20 | Success: True | Epsilon: 0.660
Episode 306 | Reward:  -25.297 | Steps:  1 | Success: False | Epsilon: 0.659
Episode 307 | Reward:  -87.112 | Steps: 26 | Success: True | Epsilon: 0.658
Episode 308 | Reward:  -33.299 | Steps:  1 | Success: False | Epsilon: 0.658
Episode 309 | Reward:  -26.352 | Steps:  1 | Success: False | Epsilon: 0.657
Episode 310 | Reward: -226.350 | Steps: 23 | Success: True | Epsilon: 0.656
Episode 311 | Reward:  -98.967 | Steps: 14 | Success: True | Epsilon: 0.655
Episode 312 | Reward: -115.686 | Steps:  7 | Success: False | Epsilon: 0.654
Episode 313 | Reward: -197.522 | Steps: 32 | Success: True | Epsilon: 0.653
Episode 314 | Reward: -302.864 | Steps: 30 | Success: True | Epsilon: 0.652
Episode 315 | Reward: -117.176 | Steps: 16 | Success: True | Epsilon: 0.651
Episode 316 | Reward:  -93.957 | Steps: 13 | Success: True | Epsilon: 0.650
Episode 317 | Reward:    3.130 | Steps:  3 | Success: True | Epsilon: 0.650
Episode 318 | Reward:  -18.980 | Steps:  1 | Success: False | Epsilon: 0.649
Episode 319 | Reward:  -99.701 | Steps: 18 | Success: True | Epsilon: 0.648
Episode 320 | Reward: -126.628 | Steps:  8 | Success: False | Epsilon: 0.647
Episode 321 | Reward:  -16.681 | Steps:  6 | Success: True | Epsilon: 0.646
Episode 322 | Reward: -103.400 | Steps: 18 | Success: True | Epsilon: 0.645
Episode 323 | Reward: -214.176 | Steps: 26 | Success: True | Epsilon: 0.644
Episode 324 | Reward: -161.707 | Steps: 24 | Success: True | Epsilon: 0.643
Episode 325 | Reward:  -82.860 | Steps: 13 | Success: True | Epsilon: 0.642
Validation | episode=325 success=52.00% recent_reward=-96.015
